id,age,job,marital,education,balance,housing,loan,contact
114,36,blue-collar,married,primary,448,yes,no,unknown
115,59,retired,divorced,primary,81,yes,no,unknown
116,44,blue-collar,married,secondary,144,yes,no,unknown
117,41,admin.,married,secondary,351,yes,no,unknown
118,33,management,single,tertiary,-67,yes,no,unknown
119,59,management,divorced,tertiary,262,no,no,unknown
120,57,technician,married,primary,0,no,no,unknown
121,56,technician,divorced,unknown,56,yes,no,unknown
122,51,blue-collar,married,secondary,26,yes,no,unknown
123,34,admin.,married,unknown,3,yes,no,unknown
124,43,services,married,secondary,41,yes,yes,unknown
125,52,technician,married,tertiary,7,no,yes,unknown
126,33,technician,single,secondary,105,yes,no,unknown
127,29,admin.,single,secondary,818,yes,yes,unknown
128,34,services,married,secondary,-16,yes,yes,unknown
129,31,blue-collar,married,secondary,0,yes,no,unknown
130,55,services,married,secondary,2476,yes,no,unknown
131,55,management,married,unknown,1185,no,no,unknown
132,32,admin.,single,secondary,217,yes,no,unknown
133,38,technician,single,secondary,1685,yes,no,unknown
134,55,admin.,single,secondary,802,yes,yes,unknown
135,28,unemployed,single,tertiary,0,yes,no,unknown
136,23,blue-collar,married,secondary,94,yes,no,unknown
137,32,technician,single,secondary,0,yes,no,unknown
138,43,services,single,unknown,0,no,no,unknown
139,32,blue-collar,married,secondary,517,yes,no,unknown
140,46,blue-collar,married,secondary,265,yes,no,unknown
141,53,housemaid,divorced,primary,947,yes,no,unknown
142,34,self-employed,single,secondary,3,yes,no,unknown
143,57,unemployed,married,tertiary,42,no,no,unknown
144,37,blue-collar,married,secondary,37,yes,no,unknown
145,59,blue-collar,married,secondary,57,yes,no,unknown
146,33,services,married,secondary,22,yes,no,unknown
147,56,blue-collar,divorced,primary,8,yes,no,unknown
148,48,unemployed,married,secondary,293,yes,no,unknown
149,43,services,married,primary,3,yes,no,unknown
150,54,blue-collar,married,primary,348,yes,no,unknown
151,51,blue-collar,married,unknown,-19,yes,no,unknown
152,26,student,single,secondary,0,yes,no,unknown
153,40,management,married,tertiary,-4,yes,no,unknown
154,39,management,married,secondary,18,yes,no,unknown
155,50,technician,married,primary,139,no,no,unknown
156,41,services,married,secondary,0,yes,no,unknown
157,51,blue-collar,married,unknown,1883,yes,no,unknown
158,60,retired,divorced,secondary,216,yes,no,unknown
159,52,blue-collar,married,secondary,782,yes,no,unknown
160,48,blue-collar,married,secondary,904,yes,no,unknown
161,48,services,married,unknown,1705,yes,no,unknown
162,39,technician,single,tertiary,47,yes,no,unknown
163,47,services,single,secondary,176,yes,no,unknown
164,40,blue-collar,married,secondary,1225,yes,no,unknown
165,45,technician,married,secondary,86,yes,no,unknown
166,26,admin.,single,secondary,82,yes,no,unknown
167,52,management,married,tertiary,271,yes,no,unknown
168,54,technician,married,secondary,1378,yes,no,unknown
169,54,admin.,married,tertiary,184,no,no,unknown
170,50,blue-collar,married,primary,0,no,no,unknown
171,35,blue-collar,married,secondary,0,yes,no,unknown
172,44,services,married,secondary,1357,yes,yes,unknown
173,53,entrepreneur,married,unknown,19,yes,no,unknown
174,35,retired,single,primary,434,no,no,unknown
175,60,admin.,divorced,secondary,92,yes,no,unknown
176,53,admin.,divorced,secondary,1151,yes,no,unknown
177,48,unemployed,married,secondary,41,yes,no,unknown
178,34,technician,married,secondary,51,yes,no,unknown
179,54,services,married,secondary,214,yes,no,unknown
180,51,management,married,secondary,1161,yes,no,unknown
181,31,services,married,tertiary,37,yes,no,unknown
182,35,technician,divorced,secondary,787,yes,no,unknown
183,35,services,married,secondary,59,yes,no,unknown
184,38,technician,married,secondary,253,yes,no,unknown
185,36,admin.,married,tertiary,211,yes,no,unknown
186,58,retired,married,primary,235,yes,no,unknown
187,40,services,divorced,unknown,4384,yes,no,unknown
188,54,management,married,secondary,4080,no,no,unknown
189,34,blue-collar,single,secondary,53,yes,yes,unknown
190,31,management,single,tertiary,0,yes,no,unknown
191,51,retired,married,secondary,2127,yes,no,unknown
192,33,management,married,tertiary,377,yes,no,unknown
193,55,management,married,tertiary,73,yes,no,unknown
194,42,admin.,married,secondary,445,yes,no,unknown
195,34,blue-collar,married,secondary,243,yes,no,unknown
196,33,blue-collar,single,secondary,307,yes,no,unknown
197,38,services,married,secondary,155,yes,no,unknown
198,50,technician,divorced,tertiary,173,no,yes,unknown
199,43,management,married,tertiary,400,yes,no,unknown
200,61,blue-collar,divorced,primary,1428,yes,no,unknown
201,47,admin.,married,secondary,219,yes,no,unknown
202,48,self-employed,married,tertiary,7,yes,no,unknown
203,44,blue-collar,married,secondary,575,yes,no,unknown
204,35,student,single,unknown,298,yes,no,unknown
205,35,services,married,secondary,0,yes,no,unknown
206,50,services,married,secondary,5699,yes,no,unknown
207,41,management,married,tertiary,176,yes,yes,unknown
208,41,management,married,tertiary,517,yes,no,unknown
209,39,services,single,unknown,257,yes,no,unknown
210,42,retired,married,secondary,56,yes,no,unknown
211,38,blue-collar,married,secondary,-390,yes,no,unknown
212,53,retired,married,secondary,330,yes,no,unknown
213,59,housemaid,divorced,primary,195,no,no,unknown
214,36,services,married,secondary,301,yes,no,unknown
215,54,blue-collar,married,primary,-41,yes,no,unknown
216,40,technician,married,tertiary,483,yes,no,unknown
217,47,unknown,married,unknown,28,no,no,unknown
218,53,unemployed,married,unknown,13,no,no,unknown
219,46,housemaid,married,primary,965,no,no,unknown
220,39,management,married,tertiary,378,yes,yes,unknown
221,40,unemployed,married,secondary,219,yes,no,unknown
222,28,blue-collar,married,primary,324,yes,no,unknown
223,35,entrepreneur,divorced,secondary,-69,yes,no,unknown
224,55,retired,married,secondary,0,no,yes,unknown
225,43,technician,divorced,unknown,205,yes,no,unknown
226,48,blue-collar,married,primary,278,yes,no,unknown
227,58,management,married,unknown,1065,yes,no,unknown
228,33,management,single,tertiary,34,yes,no,unknown
229,36,blue-collar,married,unknown,1033,no,no,unknown
230,53,services,divorced,secondary,1467,yes,no,unknown
231,47,blue-collar,married,primary,-12,yes,no,unknown
232,31,services,married,secondary,388,yes,no,unknown
233,57,entrepreneur,married,secondary,294,yes,no,unknown
234,53,blue-collar,married,unknown,1827,no,no,unknown
235,55,blue-collar,married,primary,627,yes,no,unknown
236,45,blue-collar,married,primary,25,yes,no,unknown
237,53,admin.,divorced,secondary,315,yes,no,unknown
238,37,blue-collar,married,primary,0,yes,no,unknown
239,44,admin.,divorced,secondary,66,yes,no,unknown
240,49,blue-collar,divorced,primary,-9,yes,yes,unknown
241,46,technician,married,secondary,349,yes,yes,unknown
242,43,entrepreneur,married,unknown,100,yes,no,unknown
243,38,admin.,married,secondary,0,no,no,unknown
244,43,technician,married,secondary,434,yes,no,unknown
245,49,management,married,tertiary,3237,yes,no,unknown
246,42,management,married,unknown,275,no,no,unknown
247,22,blue-collar,single,secondary,0,yes,no,unknown
248,40,management,married,tertiary,207,yes,no,unknown
249,39,blue-collar,married,secondary,483,yes,no,unknown
250,51,services,married,secondary,2248,yes,no,unknown
251,49,admin.,married,secondary,428,yes,no,unknown
252,53,blue-collar,married,secondary,0,yes,yes,unknown
253,34,services,single,secondary,0,yes,no,unknown
254,33,technician,divorced,secondary,140,yes,no,unknown
255,50,management,single,tertiary,297,yes,no,unknown
256,39,blue-collar,married,primary,279,yes,no,unknown
257,59,entrepreneur,divorced,secondary,901,yes,no,unknown
258,30,technician,single,secondary,2573,yes,no,unknown
259,36,services,married,secondary,143,yes,yes,unknown
260,40,blue-collar,married,secondary,475,yes,no,unknown
261,53,blue-collar,married,secondary,70,yes,no,unknown
262,34,management,single,tertiary,318,yes,no,unknown
263,37,technician,married,secondary,275,yes,no,unknown
264,42,management,divorced,tertiary,742,yes,no,unknown
265,41,entrepreneur,married,primary,236,yes,no,unknown
266,30,student,single,tertiary,25,yes,no,unknown
267,37,management,single,tertiary,600,yes,no,unknown
268,39,admin.,divorced,secondary,-349,yes,no,unknown
269,41,blue-collar,married,primary,183,yes,yes,unknown
270,40,blue-collar,married,primary,0,yes,no,unknown
271,42,management,single,tertiary,0,yes,yes,unknown
272,40,blue-collar,divorced,primary,0,yes,no,unknown
273,57,technician,married,secondary,1078,yes,no,unknown
274,56,entrepreneur,divorced,secondary,155,no,no,unknown
275,37,admin.,married,secondary,190,yes,no,unknown
276,59,retired,married,secondary,319,yes,no,unknown
277,39,services,divorced,secondary,-185,yes,no,unknown
278,49,services,married,secondary,47,no,no,unknown
279,38,services,single,secondary,570,yes,no,unknown
280,36,self-employed,married,tertiary,19,no,no,unknown
281,50,blue-collar,married,primary,61,yes,no,unknown
282,41,admin.,married,secondary,-62,yes,yes,unknown
283,54,technician,married,tertiary,258,no,no,unknown
284,58,blue-collar,married,primary,76,yes,no,unknown
285,30,blue-collar,single,secondary,0,yes,no,unknown
286,33,admin.,single,secondary,352,yes,no,unknown
287,47,admin.,married,secondary,368,yes,no,unknown
288,50,technician,single,tertiary,339,yes,no,unknown
289,32,blue-collar,married,secondary,1331,yes,no,unknown
290,40,self-employed,married,secondary,672,yes,no,unknown
291,37,management,married,tertiary,58,yes,no,unknown
292,54,technician,single,unknown,447,yes,no,unknown
293,24,student,single,secondary,423,yes,no,unknown
294,54,management,married,tertiary,0,no,no,unknown
295,34,technician,married,secondary,19,yes,no,unknown
296,56,technician,divorced,primary,13,yes,no,unknown
297,31,blue-collar,single,secondary,3,yes,no,unknown
298,24,student,single,secondary,82,yes,no,unknown
299,42,blue-collar,divorced,primary,28,yes,no,unknown
300,57,technician,married,secondary,792,yes,no,unknown
301,42,blue-collar,married,unknown,408,yes,no,unknown
302,51,admin.,married,secondary,531,yes,no,unknown
303,57,retired,married,secondary,211,yes,no,unknown
304,36,services,single,secondary,62,yes,no,unknown
305,53,services,married,unknown,257,yes,no,unknown
306,50,technician,married,secondary,1234,yes,no,unknown
307,54,management,married,tertiary,313,yes,no,unknown
308,55,blue-collar,married,secondary,89,yes,no,unknown
309,44,blue-collar,married,secondary,129,yes,yes,unknown
310,43,management,married,unknown,0,yes,no,unknown
311,56,admin.,married,secondary,353,yes,no,unknown
312,54,technician,married,unknown,851,yes,no,unknown
313,55,services,divorced,primary,96,yes,yes,unknown
314,37,services,divorced,secondary,398,yes,yes,unknown
315,33,admin.,single,tertiary,193,no,no,unknown
316,46,admin.,married,secondary,-358,yes,no,unknown
317,36,blue-collar,married,secondary,539,yes,yes,unknown
318,51,technician,single,secondary,0,yes,no,unknown
319,40,retired,single,primary,0,no,no,unknown
320,42,blue-collar,married,secondary,490,yes,no,unknown
321,51,blue-collar,married,secondary,0,yes,no,unknown
322,49,blue-collar,married,unknown,403,yes,no,unknown
323,48,management,married,secondary,161,yes,no,unknown
324,32,technician,divorced,tertiary,2558,no,no,unknown
325,31,admin.,single,secondary,98,yes,no,unknown
326,55,management,single,tertiary,115,no,no,unknown
327,40,blue-collar,single,secondary,436,yes,no,unknown
328,47,technician,married,tertiary,831,yes,no,unknown
329,57,technician,married,unknown,206,yes,no,unknown
330,41,blue-collar,married,secondary,290,yes,no,unknown
331,48,blue-collar,married,secondary,1,no,no,unknown
332,42,blue-collar,married,unknown,57,yes,no,unknown
333,30,blue-collar,single,secondary,-457,yes,no,unknown
334,58,management,single,tertiary,1387,yes,no,unknown
335,45,management,divorced,tertiary,24598,yes,no,unknown
336,49,blue-collar,married,secondary,30,yes,no,unknown
337,42,admin.,single,secondary,1022,yes,no,unknown
338,53,technician,married,secondary,56,yes,yes,unknown
339,51,admin.,single,secondary,-2,no,no,unknown
340,32,services,single,secondary,121,yes,no,unknown
341,41,blue-collar,single,secondary,842,yes,no,unknown
342,43,management,divorced,secondary,693,yes,no,unknown
343,40,blue-collar,divorced,secondary,-333,yes,no,unknown
344,50,blue-collar,married,primary,1533,yes,no,unknown
345,34,management,married,tertiary,46,yes,no,unknown
346,53,services,married,unknown,18,no,no,unknown
347,45,technician,married,secondary,44,yes,no,unknown
348,39,blue-collar,married,primary,-100,yes,no,unknown
349,44,services,married,tertiary,510,yes,no,unknown
350,55,management,married,tertiary,685,yes,no,unknown
351,46,management,single,tertiary,187,yes,no,unknown
352,45,blue-collar,married,secondary,66,yes,no,unknown
353,34,admin.,married,secondary,560,yes,no,unknown
354,36,blue-collar,married,secondary,0,yes,no,unknown
355,59,unknown,divorced,unknown,27,no,no,unknown
356,31,admin.,single,secondary,12,yes,no,unknown
357,44,blue-collar,single,secondary,34,yes,no,unknown
358,33,entrepreneur,single,tertiary,1068,yes,no,unknown
359,40,blue-collar,married,secondary,211,yes,no,unknown
360,46,admin.,single,tertiary,377,yes,no,unknown
361,48,management,married,tertiary,263,yes,no,unknown
362,42,services,married,secondary,1263,yes,no,unknown
363,27,services,married,secondary,8,yes,no,unknown
364,48,admin.,married,secondary,126,yes,yes,unknown
365,59,admin.,married,secondary,230,yes,no,unknown
366,46,technician,married,tertiary,841,yes,no,unknown
367,38,admin.,divorced,secondary,308,yes,no,unknown
368,43,management,divorced,tertiary,1,yes,no,unknown
369,38,admin.,divorced,tertiary,86,yes,no,unknown
370,23,student,single,secondary,157,yes,no,unknown
371,34,services,married,secondary,22,yes,no,unknown
372,38,admin.,married,secondary,46,yes,yes,unknown
373,37,blue-collar,married,secondary,1293,no,no,unknown
374,25,admin.,single,secondary,122,yes,no,unknown
375,48,blue-collar,married,unknown,131,yes,no,unknown
376,49,blue-collar,single,secondary,143,yes,no,unknown
377,38,admin.,single,secondary,393,no,no,unknown
378,43,blue-collar,married,primary,98,yes,no,unknown
379,33,management,married,tertiary,0,yes,no,unknown
380,55,blue-collar,married,secondary,224,yes,no,unknown
381,38,blue-collar,married,secondary,757,yes,no,unknown
382,49,services,married,secondary,245,yes,yes,unknown
383,40,management,married,secondary,8486,no,no,unknown
384,43,admin.,married,unknown,350,no,no,unknown
385,38,blue-collar,married,secondary,20,yes,no,unknown
386,58,services,married,secondary,1667,yes,yes,unknown
387,57,technician,married,unknown,345,yes,no,unknown
388,32,unemployed,married,secondary,10,yes,no,unknown
389,56,management,married,tertiary,830,yes,yes,unknown
390,58,blue-collar,divorced,unknown,29,yes,no,unknown
391,60,retired,divorced,secondary,545,yes,no,unknown
392,37,technician,married,tertiary,8730,yes,no,unknown
393,46,technician,divorced,tertiary,477,yes,no,unknown
394,27,admin.,married,secondary,4,yes,no,unknown
395,43,blue-collar,married,secondary,1205,yes,no,unknown
396,32,technician,single,secondary,0,yes,yes,unknown
397,40,admin.,single,secondary,263,yes,no,unknown
398,38,admin.,married,secondary,1,no,no,unknown
399,34,blue-collar,married,secondary,283,no,yes,unknown
400,47,blue-collar,married,primary,206,yes,no,unknown
401,42,housemaid,married,primary,17,yes,no,unknown
402,48,technician,married,secondary,141,yes,yes,unknown
403,29,self-employed,single,tertiary,16,yes,no,unknown
404,50,services,married,secondary,206,yes,no,unknown
405,52,technician,married,unknown,7,no,no,unknown
406,50,management,married,tertiary,0,no,no,unknown
407,58,retired,married,tertiary,0,no,no,unknown
408,46,blue-collar,divorced,primary,1927,yes,no,unknown
409,38,technician,married,secondary,284,yes,no,unknown
410,46,blue-collar,married,secondary,1660,yes,no,unknown
411,32,services,single,secondary,406,yes,no,unknown
412,51,blue-collar,married,primary,230,yes,no,unknown
413,39,admin.,single,secondary,-25,yes,no,unknown
414,48,admin.,married,secondary,182,yes,no,unknown
415,36,entrepreneur,married,tertiary,1169,yes,no,unknown
416,34,admin.,divorced,secondary,67,yes,no,unknown
417,40,technician,married,secondary,77,no,no,unknown
418,43,unemployed,married,secondary,0,yes,no,unknown
419,52,blue-collar,divorced,primary,55,yes,yes,unknown
420,33,technician,married,secondary,72,yes,no,unknown
421,49,management,single,tertiary,163,yes,no,unknown
422,32,management,single,tertiary,151,yes,no,unknown
423,39,admin.,single,secondary,113,yes,no,unknown
424,40,blue-collar,married,secondary,0,yes,no,unknown
425,38,technician,single,tertiary,9,yes,no,unknown
426,43,management,married,secondary,375,yes,no,unknown
427,39,services,married,secondary,1142,yes,no,unknown
428,54,blue-collar,married,primary,2102,yes,no,unknown
429,38,technician,single,tertiary,4325,yes,no,unknown
430,40,blue-collar,married,secondary,217,yes,no,unknown
431,55,admin.,married,secondary,131,yes,no,unknown
432,42,management,married,tertiary,1680,yes,no,unknown
433,39,blue-collar,married,secondary,0,yes,no,unknown
434,40,blue-collar,married,primary,46,yes,no,unknown
435,32,blue-collar,married,secondary,320,yes,no,unknown
436,55,admin.,married,secondary,183,yes,no,unknown
437,45,blue-collar,married,secondary,39,no,no,unknown
438,35,management,single,tertiary,560,yes,no,unknown
439,58,technician,divorced,secondary,469,no,no,unknown
440,35,admin.,married,secondary,530,yes,no,unknown
441,49,services,married,primary,61,yes,no,unknown
442,34,technician,single,tertiary,242,yes,no,unknown
443,36,blue-collar,married,secondary,139,yes,no,unknown
444,24,self-employed,single,secondary,0,yes,no,unknown
445,34,technician,married,secondary,367,yes,no,unknown
446,51,admin.,divorced,secondary,228,yes,no,unknown
447,39,technician,single,unknown,45248,yes,no,unknown
448,50,self-employed,married,unknown,-84,yes,no,unknown
449,32,services,single,secondary,310,yes,no,unknown
450,42,blue-collar,married,unknown,132,yes,no,unknown
451,50,technician,married,secondary,797,yes,no,unknown
452,40,services,married,secondary,71,no,no,unknown
453,46,management,divorced,unknown,2,yes,no,unknown
454,37,management,married,tertiary,231,yes,yes,unknown
455,34,blue-collar,married,secondary,270,yes,yes,unknown
456,44,blue-collar,married,secondary,274,yes,yes,unknown
457,40,admin.,single,secondary,-109,yes,yes,unknown
458,37,technician,married,secondary,1,yes,no,unknown
459,33,blue-collar,single,secondary,-60,no,no,unknown
460,35,blue-collar,married,secondary,89,yes,no,unknown
461,58,blue-collar,divorced,secondary,-11,no,no,unknown
462,39,blue-collar,married,primary,0,yes,no,unknown
463,43,blue-collar,married,secondary,-509,yes,no,unknown
464,39,unemployed,married,primary,408,yes,no,unknown
465,36,services,single,primary,58,yes,no,unknown
466,57,retired,single,secondary,1640,no,yes,unknown
467,36,admin.,single,secondary,20,yes,no,unknown
468,50,blue-collar,married,primary,71,yes,no,unknown
469,55,blue-collar,married,secondary,52,yes,no,unknown
470,44,self-employed,married,tertiary,292,yes,no,unknown
471,44,services,divorced,secondary,424,yes,no,unknown
472,39,housemaid,single,primary,109,yes,no,unknown
473,46,blue-collar,married,unknown,1044,yes,no,unknown
474,39,blue-collar,married,secondary,983,yes,no,unknown
475,34,admin.,married,secondary,869,no,no,unknown
476,40,blue-collar,married,primary,668,yes,no,unknown
477,50,management,married,tertiary,964,yes,no,unknown
478,31,management,single,secondary,301,yes,no,unknown
479,37,admin.,single,secondary,140,yes,no,unknown
480,39,management,single,secondary,1877,yes,no,unknown
481,51,blue-collar,married,primary,1127,yes,no,unknown
482,41,technician,married,secondary,871,yes,no,unknown
483,41,technician,married,secondary,767,yes,yes,unknown
484,43,blue-collar,married,secondary,0,no,no,unknown
485,30,services,single,secondary,209,yes,no,unknown
486,54,management,divorced,primary,0,no,no,unknown
487,43,blue-collar,divorced,secondary,110,yes,yes,unknown
488,59,management,divorced,tertiary,-76,yes,yes,unknown
489,47,technician,married,unknown,178,yes,no,unknown
490,40,blue-collar,married,primary,-66,yes,no,unknown
491,32,technician,married,secondary,0,yes,no,unknown
492,29,blue-collar,married,secondary,1,yes,no,unknown
493,36,blue-collar,married,secondary,0,yes,no,unknown
494,55,unemployed,married,tertiary,5345,no,no,unknown
495,30,blue-collar,divorced,secondary,-209,yes,no,unknown
496,39,admin.,single,secondary,0,yes,no,unknown
497,39,blue-collar,divorced,secondary,42,yes,no,unknown
498,50,blue-collar,divorced,secondary,41,yes,no,unknown
499,44,blue-collar,married,secondary,-99,yes,no,unknown
500,37,technician,single,secondary,17,yes,no,unknown
501,46,admin.,married,primary,276,yes,yes,unknown
502,32,technician,single,unknown,-170,no,no,unknown
503,37,management,single,tertiary,230,yes,yes,unknown
504,29,blue-collar,married,secondary,9,yes,no,unknown
505,41,blue-collar,married,secondary,946,yes,no,unknown
506,45,blue-collar,married,primary,1297,yes,no,unknown
507,57,retired,divorced,secondary,-331,yes,no,unknown
508,48,blue-collar,single,secondary,44,yes,no,unknown
509,60,retired,married,secondary,15,no,no,unknown
510,26,admin.,single,secondary,712,yes,no,unknown
511,58,retired,married,secondary,5435,yes,no,unknown
512,34,admin.,married,secondary,507,yes,no,unknown
513,55,unemployed,divorced,secondary,387,yes,no,unknown
514,41,blue-collar,married,primary,0,yes,yes,unknown
515,50,management,divorced,secondary,1716,yes,no,unknown
516,49,entrepreneur,married,secondary,167,yes,yes,unknown
517,44,admin.,married,unknown,40,no,yes,unknown
518,44,blue-collar,married,primary,148,yes,no,unknown
519,31,technician,married,secondary,17,yes,yes,unknown
520,34,blue-collar,single,tertiary,1011,yes,no,unknown
521,46,management,single,unknown,1527,yes,no,unknown
522,42,management,married,tertiary,744,no,no,unknown
523,52,admin.,married,secondary,484,yes,no,unknown
524,29,management,single,tertiary,0,yes,no,unknown
525,53,retired,married,primary,136,yes,no,unknown
526,43,blue-collar,married,secondary,1335,yes,no,unknown
527,38,management,married,secondary,517,yes,no,unknown
528,46,management,married,tertiary,459,yes,no,unknown
529,48,management,divorced,unknown,549,yes,no,unknown
530,30,admin.,divorced,secondary,83,yes,yes,unknown
531,44,blue-collar,married,primary,213,no,no,unknown
532,31,housemaid,married,primary,203,yes,no,unknown
533,42,services,single,secondary,518,yes,no,unknown
534,40,management,single,tertiary,3877,yes,no,unknown
535,52,admin.,married,secondary,1236,yes,no,unknown
536,45,blue-collar,divorced,secondary,756,yes,no,unknown
537,48,blue-collar,married,secondary,157,yes,no,unknown
538,45,blue-collar,married,primary,-66,yes,no,unknown
539,34,blue-collar,married,unknown,245,yes,no,unknown
540,34,blue-collar,married,primary,-144,yes,no,unknown
541,46,blue-collar,married,secondary,71,yes,no,unknown
542,49,services,divorced,secondary,505,yes,no,unknown
543,50,technician,married,primary,249,yes,no,unknown
544,34,admin.,single,secondary,0,yes,no,unknown
545,40,unemployed,single,secondary,11,yes,no,unknown
546,36,admin.,married,secondary,639,yes,no,unknown
547,59,blue-collar,divorced,unknown,124,yes,no,unknown
